Type,Time,Level,Traded Amount,Max Trade,Trade Count,Given,Paid,Max Order,Bids,Asks,Subsequent Trades,1min,5min,Profit,Cum Pnl
ICEBERG,25/11/2018 01:09:13,3900.00,11.90, 2.44, 7, 9.53, 2.37, 3.32, 0,26,0.07,3901.01,3907.62,  7.62,  7.62
ICEBERG,25/11/2018 01:26:58,3920.25,16.76, 5.56, 6,15.46, 1.30, 8.17,60, 1,0.10,3919.24,3912.23, -8.02, -0.40
ICEBERG,25/11/2018 02:58:09,3831.89,20.20,10.00,10, 0.18,20.03, 1.32, 1, 2,0.00,3834.84,3861.02,-29.13,-29.53
ICEBERG,25/11/2018 03:18:05,3830.00,13.43, 6.00,10, 6.45, 6.98, 6.67,26,13,2.29,3832.14,3853.63,-23.63,-53.16
ICEBERG,25/11/2018 03:23:48,3856.58,11.57, 5.74, 4, 0.00,11.57, 0.26, 0, 1,0.00,3859.39,3847.58,  9.00,-44.16
ICEBERG,25/11/2018 03:25:25,3853.66,12.25, 5.22, 4, 0.00,12.25, 0.88, 0, 2,0.07,3854.59,3843.55, 10.11,-34.05
ICEBERG,25/11/2018 03:46:24,3755.00,26.67,13.06, 7, 0.22,26.45, 4.06, 5,17,11.74,3753.94,3759.84, -4.84,-38.89
ICEBERG,25/11/2018 05:31:08,3820.26,10.46, 4.79, 5, 9.59, 0.88, 1.80, 2, 2,1.17,3821.49,3799.98,-20.28,-59.17
ICEBERG,25/11/2018 06:11:31,3829.21,12.02, 5.99, 6, 0.00,12.02, 6.00, 0, 1,0.00,3824.16,3823.12,  6.09,-53.08
ICEBERG,25/11/2018 10:21:21,3685.00,21.65, 7.49,25,16.22, 5.44, 8.61,86,15,0.03,3672.55,3667.34,-17.66,-70.74
ICEBERG,25/11/2018 10:57:47,3830.05,12.93, 6.46, 3,12.93, 0.00, 0.03, 1,11,0.65,3804.50,3991.00,160.95, 90.21
ICEBERG,25/11/2018 11:25:06,3958.73,11.27, 3.64, 6, 7.28, 3.99, 3.64, 4, 1,0.00,3939.91,3907.24,-51.49, 38.72
ICEBERG,25/11/2018 11:27:13,3950.00,17.36, 4.91,15, 1.83,15.54, 6.71,37,42,15.25,3945.01,3920.83, 29.17, 67.89
ICEBERG,25/11/2018 11:28:36,3933.66,11.24, 5.59, 3, 0.05,11.18, 0.13,36, 0,0.54,3917.27,3911.90, 21.76, 89.65
ICEBERG,25/11/2018 11:34:29,3905.97,10.36, 3.96, 4,10.36, 0.00, 0.10, 0, 1,0.00,3890.41,3897.32, -8.65, 81.00
ICEBERG,25/11/2018 11:52:13,3900.00,26.29,11.99, 4, 0.00,26.29, 1.75,56, 0,14.12,3901.14,3905.31, -5.31, 75.69
ICEBERG,25/11/2018 12:50:28,3947.93,21.90, 8.76, 3,21.90, 0.00, 2.80,22, 0,8.76,3947.39,3928.00,-19.93, 55.76
ICEBERG,25/11/2018 13:03:27,3918.00,13.99, 6.04, 3,12.08, 1.91, 6.04,108, 0,0.64,3926.91,3904.99,-13.01, 42.75
ICEBERG,25/11/2018 13:43:29,3995.00,11.71, 5.68, 4,11.36, 0.34, 5.68, 5,10,1.49,3992.09,3980.01,-14.99, 27.76
ICEBERG,25/11/2018 13:49:43,3962.01,10.51, 4.83, 3, 0.85, 9.66, 2.65,27, 0,0.16,3965.32,3970.14, -8.13, 19.63
